Año,Mes,Día,Arg. $ (*),Real (*),Dolar cierre (*),Dolar fondo (**),Dolar prom (*),Euro,Oro Londres (***)
2017,01,31,"1,642","8,967","28,245","28,185","28,611","30,422","1212,52"
2017,02,24,"1,71","9,27","28,552","28,523","28,462","30,152","1257,14"
2017,03,31,"1,784","9,12","28,544","28,523","28,416","30,444","1248,71"
2017,04,28,"1,769","8,788","28,123","28,109","28,403","30,633","1268,01"
2017,05,31,"1,73","8,522","28,292","28,278","28,131","31,789","1271,12"
2017,06,30,"1,738","8,431","28,495","28,481","28,378","32,518","1241,7"
2017,07,31,"1,552","8,561","28,251","28,244","28,641","33,423","1270,04"
2017,08,31,"1,612","8,849","28,849","28,82","28,674","34,303","1321,04"
2017,09,29,"1,619","9,085","28,98","28,951","28,911","34,227","1283,04"
2017,10,31,"1,625","9,061","29,176","29,147","29,378","33,961","1270,84"
2017,11,30,"1,607","8,978","28,998","28,969","29,231","34,504","1274,59"
2017,12,29,"1,485","8,891","28,807","28,764","28,88","34,556","1303,74"
2018,01,31,"1,389","8,907","28,414","28,371","28,572","35,247","1341,72"
2018,02,28,"1,363","8,861","28,356","28,314","28,52","34,579","1319,41"
2018,03,28,"1,339","8,762","28,389","28,354","28,392","34,905","1324,35"
2018,04,30,"1,389","8,293","28,61","28,596","28,317","34,551","1318,74"
2018,05,31,"1,214","8,34","31,192","31,192","30,562","36,456","1300,53"
2018,06,29,"1,14","8,131","31,466","31,466","31,366","36,713","1252,15"
2018,07,31,"1,091","7,915","30,553","30,553","31,146","35,736","1225,14"
2018,08,31,"0,924","7,907","32,339","32,339","31,326","37,528","1199,85"
2018,09,28,"0,898","8,283","33,214","33,214","32,866","38,563","1192,09"
2018,10,31,"0,946","8,945","32,827","32,827","32,886","37,159","1214,08"
2018,11,30,"0,888","8,473","32,197","32,181","32,537","36,416","1220,98"
2018,12,28,"0,82","8,506","32,406","32,39","32,214","37,044","1278,51"
2019,01,31,"0,855","8,805","32,491","32,475","32,598","37,156","1319,24"
2019,02,28,"0,832","8,975","32,667","32,651","32,61","37,154","1314,58"
2019,03,29,"0,797","8,812","33,484","33,484","33,313","37,566","1293,12"
2019,04,30,"0,823","8,947","34,981","34,981","34,136","39,247","1284,08"
2019,05,31,"0,783","8,813","35,252","35,252","35,163","39,384","1306,56"
2019,06,28,"0,833","8,907","35,182","35,182","35,25","40,014","1410,36"
2019,07,31,"0,781","8,718","34,35","34,35","34,823","38,092","1420,09"
2019,08,30,"0,643","8,937","36,642","36,642","35,954","40,242","1525,65"
2019,09,30,"0,611","9,054","36,939","36,939","36,691","40,275","1474,12"
2019,10,31,"0,585","9,284","37,416","37,416","37,301","41,704","1511,74"
2019,11,29,"0,569","9,096","37,84","37,84","37,639","41,69","1463,9"
2019,12,30,"0,479","9,452","37,308","37,336","37,585","41,829","1515,88"
2020,01,31,"0,497","9,313","37,531","37,531","37,355","41,588","1585,57"
2020,02,28,"0,508","9,063","39,152","39,152","38,044","43,085","1572,9"
2020,03,31,"0,478","10,24","43,008","43,008","43,343","47,356","1584,92"
2020,04,30,"0,384","8,624","42,257","42,257","43,391","46,288","1685,29"
2020,05,29,"0,377","8,328","43,308","43,308","43,43","48,031","1734,64"
2020,06,30,"0,422","8,277","42,212","42,212","42,576","47,425","1782,49"
2020,07,31,"0,339","8,391","42,376","42,376","43,05","49,955","1971,1"
2020,08,31,"0,328","8,19","42,587","42,587","42,667","50,828","1971,33"
2020,09,30,"0,304","7,812","42,575","42,575","42,491","49,904","1890,39"
2020,10,30,"0,253","7,544","43,003","43,003","42,687","50,081","1879,74"
2020,11,30,"0,304","7,802","42,521","42,521","42,728","50,819","1779,95"
2020,12,30,"0,302","8,468","42,34","42,34","42,396","52,044","1890,66"
2021,01,29,"0,384","7,977","42,278","42,278","42,288","51,302","1853,48"
2021,02,26,"0,36","8,064","43,145","43,145","42,73","52,13","1729,83"
2021,03,31,"0,353","8,183","44,187","44,187","44,264","51,834","1708,14"
2021,04,30,"0,337","8,265","43,802","43,802","44,09","52,641","1768,11"
2021,05,31,"0,337","8,422","43,794","43,794","43,985","53,549","1906,88"
2021,06,30,"0,335","8,803","43,577","43,577","43,604","51,628","1769,31"
2021,07,30,"0,324","8,741","43,704","43,704","43,833","51,818","1811,53"
2021,08,31,"0,283","8,326","42,464","42,464","43,222","50,154","1815,13"
2021,09,30,"0,277","8,338","42,94","42,94","42,695","49,744","1756,87"
2021,10,29,"0,276","8,399","44,181","44,181","43,616","51,069","1782,38"
2021,11,30,"0,228","8,018","44,1","44,1","43,987","49,879","1776,58"
2021,12,30,"0,229","8,308","44,695","44,695","44,325","50,532","1813,78"
2022,01,31,"0,21","8,331","44,154","44,154","44,515","49,598","1798,05"
2022,02,25,"0,216","8,593","42,533","42,533","43,179","47,877","1887,33"
2022,03,31,"0,228","8,566","41,115","41,115","42,243","45,533","1942,27"
2022,04,29,"0,215","8,418","40,827","40,827","41,149","43,156","1910,59"
2022,05,31,"0,21","8,16","39,902","39,902","40,758","42,839","1840,29"
2022,06,30,"0,181","7,696","39,863","39,863","39,775","41,778","1806,72"
2022,07,29,"0,141","7,753","40,934","40,934","41,09","41,835","1764,07"
2022,08,31,"0,158","8,063","40,96","40,96","40,459","41,146","1712,2"
2022,09,30,"0,155","8,104","41,736","41,736","40,944","40,937","1662,73"
2022,10,31,"0,148","8,041","40,608","40,608","41,062","40,131","1634,23"
2022,11,30,"0,131","7,739","39,392","39,392","39,747","40,911","1762,06"
2022,12,30,"0,12","8,348","40,071","40,071","39,09","42,878","1819,2"
2023,01,31,"0,103","7,975","38,681","38,681","39,386","42,052","1929,28"
2023,02,28,"0,108","7,702","38,893","38,893","39,028","41,201","1829,35"
2023,03,31,"0,109","7,776","38,648","38,648","39,112","41,952","1970,43"
2023,04,28,"0,088","7,835","38,783","38,783","38,782","42,727","1988,69"
2023,05,31,"0,088","7,803","38,779","38,779","38,861","41,385","1964,12"
2023,06,30,"0,085","7,713","37,408","37,408","38,2","40,816","1918,8"
2023,07,31,"0,073","7,83","37,429","37,429","37,888","41,168","1966,8"
2023,08,31,"0,055","7,783","37,592","37,592","37,851","40,776","1941,09"
2023,09,29,"0,053","8,033","38,556","38,556","38,146","40,785","1848,69"
2023,10,31,"0,047","8,208","39,974","39,974","39,745","42,297","1984,35"
2023,11,30,"0,049","8,116","39,119","39,119","39,554","42,597","2034,98"
2023,12,29,"0,043","8,41","39,022","39,022","39,303","43,127","2064,78"
2024,01,31,"0,036","8,386","39,164","39,164","39,139","42,395","2041,11"
2024,02,29,"0,041","8,361","39,047","39,047","39,109","42,202","2046,4"
2024,03,27,"0,042","8,128","37,552","37,552","38,421","40,639","2192,23"
2024,04,30,"0,04","7,741","38,318","38,318","38,479","40,916","2290,11"
2024,05,31,"0,034","7,606","38,792","38,792","38,516","42,066","2322,23"
2024,06,28,"0,032","7,447","39,989","39,989","39,268","42,828","2324,97"
