Ord,mMes,UltDia,Dolar,Dol_fondo,Dol_prom,Arg,BReal,Euro,Oro
90,Ene-17,2017-01-31,"28,245","28,185","28,611","1,642","8,967","30,422","1212,52"
89,Feb-17,2017-02-24,"28,552","28,523","28,462","1,710","9,270","30,152","1257,14"
88,Mar-17,2017-03-31,"28,544","28,523","28,416","1,784","9,120","30,444","1248,71"
87,Abr-17,2017-04-28,"28,123","28,109","28,403","1,769","8,788","30,633","1268,01"
86,May-17,2017-05-31,"28,292","28,278","28,131","1,730","8,522","31,789","1271,12"
85,Jun-17,2017-06-30,"28,495","28,481","28,378","1,738","8,431","32,518","1241,70"
84,Jul-17,2017-07-31,"28,251","28,244","28,641","1,552","8,561","33,423","1270,04"
83,Ago-17,2017-08-31,"28,849","28,820","28,674","1,612","8,849","34,303","1321,04"
82,Sep-17,2017-09-29,"28,980","28,951","28,911","1,619","9,085","34,227","1283,04"
81,Oct-17,2017-10-31,"29,176","29,147","29,378","1,625","9,061","33,961","1270,84"
80,Nov-17,2017-11-30,"28,998","28,969","29,231","1,607","8,978","34,504","1274,59"
79,Dic-17,2017-12-29,"28,807","28,764","28,880","1,485","8,891","34,556","1303,74"
78,Ene-18,2018-01-31,"28,414","28,371","28,572","1,389","8,907","35,247","1341,72"
77,Feb-18,2018-02-28,"28,356","28,314","28,520","1,363","8,861","34,579","1319,41"
76,Mar-18,2018-03-28,"28,389","28,354","28,392","1,339","8,762","34,905","1324,35"
75,Abr-18,2018-04-30,"28,610","28,596","28,317","1,389","8,293","34,551","1318,74"
74,May-18,2018-05-31,"31,192","31,192","30,562","1,214","8,340","36,456","1300,53"
73,Jun-18,2018-06-29,"31,466","31,466","31,366","1,140","8,131","36,713","1252,15"
72,Jul-18,2018-07-31,"30,553","30,553","31,146","1,091","7,915","35,736","1225,14"
71,Ago-18,2018-08-31,"32,339","32,339","31,326","0,924","7,907","37,528","1199,85"
70,Sep-18,2018-09-28,"33,214","33,214","32,866","0,898","8,283","38,563","1192,09"
69,Oct-18,2018-10-31,"32,827","32,827","32,886","0,946","8,945","37,159","1214,08"
68,Nov-18,2018-11-30,"32,197","32,181","32,537","0,888","8,473","36,416","1220,98"
67,Dic-18,2018-12-28,"32,406","32,390","32,214","0,820","8,506","37,044","1278,51"
66,Ene-19,2019-01-31,"32,491","32,475","32,598","0,855","8,805","37,156","1319,24"
65,Feb-19,2019-02-28,"32,667","32,651","32,610","0,832","8,975","37,154","1314,58"
64,Mar-19,2019-03-29,"33,484","33,484","33,313","0,797","8,812","37,566","1293,12"
63,Abr-19,2019-04-30,"34,981","34,981","34,136","0,823","8,947","39,247","1284,08"
62,May-19,2019-05-31,"35,252","35,252","35,163","0,783","8,813","39,384","1306,56"
61,Jun-19,2019-06-28,"35,182","35,182","35,250","0,833","8,907","40,014","1410,36"
60,Jul-19,2019-07-31,"34,350","34,350","34,823","0,781","8,718","38,092","1420,09"
59,Ago-19,2019-08-30,"36,642","36,642","35,954","0,643","8,937","40,242","1525,65"
58,Sep-19,2019-09-30,"36,939","36,939","36,691","0,611","9,054","40,275","1474,12"
57,Oct-19,2019-10-31,"37,416","37,416","37,301","0,585","9,284","41,704","1511,74"
56,Nov-19,2019-11-29,"37,840","37,840","37,639","0,569","9,096","41,690","1463,90"
55,Dic-19,2019-12-30,"37,308","37,336","37,585","0,479","9,452","41,829","1515,88"
54,Ene-20,2020-01-31,"37,531","37,531","37,355","0,497","9,313","41,588","1585,57"
53,Feb-20,2020-02-28,"39,152","39,152","38,044","0,508","9,063","43,085","1572,90"
52,Mar-20,2020-03-31,"43,008","43,008","43,343","0,478","10,240","47,356","1584,92"
51,Abr-20,2020-04-30,"42,257","42,257","43,391","0,384","8,624","46,288","1685,29"
50,May-20,2020-05-29,"43,308","43,308","43,430","0,377","8,328","48,031","1734,64"
49,Jun-20,2020-06-30,"42,212","42,212","42,576","0,422","8,277","47,425","1782,49"
48,Jul-20,2020-07-31,"42,376","42,376","43,050","0,339","8,391","49,955","1971,10"
47,Ago-20,2020-08-31,"42,587","42,587","42,667","0,328","8,190","50,828","1971,33"
46,Sep-20,2020-09-30,"42,575","42,575","42,491","0,304","7,812","49,904","1890,39"
45,Oct-20,2020-10-30,"43,003","43,003","42,687","0,253","7,544","50,081","1879,74"
44,Nov-20,2020-11-30,"42,521","42,521","42,728","0,304","7,802","50,819","1779,95"
43,Dic-20,2020-12-30,"42,340","42,340","42,396","0,302","8,468","52,044","1890,66"
42,Ene-21,2021-01-29,"42,278","42,278","42,288","0,384","7,977","51,302","1853,48"
41,Feb-21,2021-02-26,"43,145","43,145","42,730","0,360","8,064","52,130","1729,83"
40,Mar-21,2021-03-31,"44,187","44,187","44,264","0,353","8,183","51,834","1708,14"
39,Abr-21,2021-04-30,"43,802","43,802","44,090","0,337","8,265","52,641","1768,11"
38,May-21,2021-05-31,"43,794","43,794","43,985","0,337","8,422","53,549","1906,88"
37,Jun-21,2021-06-30,"43,577","43,577","43,604","0,335","8,803","51,628","1769,31"
36,Jul-21,2021-07-30,"43,704","43,704","43,833","0,324","8,741","51,818","1811,53"
35,Ago-21,2021-08-31,"42,464","42,464","43,222","0,283","8,326","50,154","1815,13"
34,Sep-21,2021-09-30,"42,940","42,940","42,695","0,277","8,338","49,744","1756,87"
33,Oct-21,2021-10-29,"44,181","44,181","43,616","0,276","8,399","51,069","1782,38"
32,Nov-21,2021-11-30,"44,100","44,100","43,987","0,228","8,018","49,879","1776,58"
31,Dic-21,2021-12-30,"44,695","44,695","44,325","0,229","8,308","50,532","1813,78"
30,Ene-22,2022-01-31,"44,154","44,154","44,515","0,210","8,331","49,598","1798,05"
29,Feb-22,2022-02-25,"42,533","42,533","43,179","0,216","8,593","47,877","1887,33"
28,Mar-22,2022-03-31,"41,115","41,115","42,243","0,228","8,566","45,533","1942,27"
27,Abr-22,2022-04-29,"40,827","40,827","41,149","0,215","8,418","43,156","1910,59"
26,May-22,2022-05-31,"39,902","39,902","40,758","0,210","8,160","42,839","1840,29"
25,Jun-22,2022-06-30,"39,863","39,863","39,775","0,181","7,696","41,778","1806,72"
24,Jul-22,2022-07-29,"40,934","40,934","41,090","0,141","7,753","41,835","1764,07"
23,Ago-22,2022-08-31,"40,960","40,960","40,459","0,158","8,063","41,146","1712,20"
22,Sep-22,2022-09-30,"41,736","41,736","40,944","0,155","8,104","40,937","1662,73"
21,Oct-22,2022-10-31,"40,608","40,608","41,062","0,148","8,041","40,131","1634,23"
20,Nov-22,2022-11-30,"39,392","39,392","39,747","0,131","7,739","40,911","1762,06"
19,Dic-22,2022-12-30,"40,071","40,071","39,090","0,120","8,348","42,878","1819,20"
18,Ene-23,2023-01-31,"38,681","38,681","39,386","0,103","7,975","42,052","1929,28"
17,Feb-23,2023-02-28,"38,893","38,893","39,028","0,108","7,702","41,201","1829,35"
16,Mar-23,2023-03-31,"38,648","38,648","39,112","0,109","7,776","41,952","1970,43"
15,Abr-23,2023-04-28,"38,783","38,783","38,782","0,088","7,835","42,727","1988,69"
14,May-23,2023-05-31,"38,779","38,779","38,861","0,088","7,803","41,385","1964,12"
13,Jun-23,2023-06-30,"37,408","37,408","38,200","0,085","7,713","40,816","1918,80"
12,Jul-23,2023-07-31,"37,429","37,429","37,888","0,073","7,830","41,168","1966,80"
11,Ago-23,2023-08-31,"37,592","37,592","37,851","0,055","7,783","40,776","1941,09"
10,Sep-23,2023-09-29,"38,556","38,556","38,146","0,053","8,033","40,785","1848,69"
9,Oct-23,2023-10-31,"39,974","39,974","39,745","0,047","8,208","42,297","1984,35"
8,Nov-23,2023-11-30,"39,119","39,119","39,554","0,049","8,116","42,597","2034,98"
7,Dic-23,2023-12-29,"39,022","39,022","39,303","0,043","8,410","43,127","2064,78"
6,Ene-24,2024-01-31,"39,164","39,164","39,139","0,036","8,386","42,395","2041,11"
5,Feb-24,2024-02-29,"39,047","39,047","39,109","0,041","8,361","42,202","2046,40"
4,Mar-24,2024-03-27,"37,552","37,552","38,421","0,042","8,128","40,639","2192,23"
3,Abr-24,2024-04-30,"38,318","38,318","38,479","0,040","7,741","40,916","2290,11"
2,May-24,2024-05-31,"38,792","38,792","38,516","0,034","7,606","42,066","2322,23"
1,Jun-24,2024-06-28,"39,989","39,989","39,268","0,032","7,447","42,828","2324,97"
